araba_modeli,model_yili,renk
Rally Wagon 2500,1994,Purple
Express 3500,2012,Red
Pajero,1996,Khaki
Sebring,2010,Mauv
Grand Am,1995,Indigo
90,1994,Red
Exige,2011,Mauv
Suburban 1500,2008,Mauv
RAV4,2003,Violet
Montana,2004,Teal
GTI,2007,Fuscia
Cavalier,1999,Crimson
Elantra,2000,Fuscia
Sebring,2007,Blue
SL-Class,1993,Goldenrod
H1,1993,Pink
Esprit,1990,Red
V70,2003,Orange
Ranger,1984,Pink
Town & Country,2007,Goldenrod
Maxima,1996,Green
9-5,2004,Teal
E-Class,1998,Fuscia
Mighty Max Macro,1994,Indigo
Santa Fe,2007,Khaki
4Runner,2011,Violet
S70,1998,Orange
Accord,1987,Mauv
Tracker,1995,Violet
DB9,2005,Puce
XLR,2009,Violet
F350,2003,Orange
Sierra 3500,2004,Red
RS 4,2007,Turquoise
944,1990,Mauv
Corolla,1997,Green
LeSabre,2003,Puce
Sierra 1500,2009,Green
Villager,1996,Green
Continental Mark VII,1986,Green
Wrangler,2007,Yellow
SL-Class,1995,Indigo
Avalanche 2500,2003,Goldenrod
F430,2009,Fuscia
Brougham,1992,Orange
6000,1991,Khaki
Impreza,2001,Pink
Savana 3500,2001,Pink
Venture,1999,Blue
Murciélago LP640,2008,Teal
Continental Super,2011,Teal
Pathfinder,2001,Aquamarine
300,2008,Mauv
3 Series,1994,Maroon
Elantra,1998,Maroon
Fiero,1988,Aquamarine
Hombre Space,1998,Turquoise
SL-Class,1991,Violet
Sequoia,2004,Red
Mustang,2013,Indigo
6 Series,2005,Yellow
Mountaineer,2003,Crimson
Chariot,1994,Goldenrod
Altima,2006,Aquamarine
CL,2001,Indigo
C-Class,2002,Maroon
Escape,2000,Purple
H2 SUV,2006,Orange
Savana 1500,2006,Fuscia
Outback,2003,Mauv
Wrangler,1994,Teal
Grand Cherokee,1994,Khaki
G37,2012,Teal
Stratus,1996,Turquoise
Mystique,2000,Goldenrod
Avenger,2010,Yellow
LS,2002,Goldenrod
G,1995,Violet
Savana 3500,2009,Pink
Suburban 2500,2008,Yellow
4000s,1986,Aquamarine
SC,1994,Indigo
Datsun/Nissan Z-car,1990,Goldenrod
Forenza,2006,Teal
Explorer,2008,Violet
1 Series,2008,Indigo
RL,1996,Teal
Stratus,1999,Puce
Metro,1995,Khaki
TSX,2008,Indigo
Grand Prix,2008,Khaki
Aurora,2003,Crimson
100,1990,Orange
E350,2006,Purple
Venture,2004,Pink
Allroad,2003,Pink
Cavalier,1996,Green
Land Cruiser,2008,Fuscia
Lancer Evolution,2002,Violet
G37,2008,Blue
MX-5,2002,Blue
G,2004,Yellow
Canyon,2005,Green
XF,2010,Purple
Rabbit,2009,Mauv
Crossfire,2004,Violet
Dakota Club,1999,Aquamarine
GTO,1965,Violet
80,1991,Goldenrod
Corvette,1954,Orange
80,1989,Red
Tredia,1987,Goldenrod
Amanti,2005,Yellow
Range Rover,2008,Aquamarine
Montana,2001,Maroon
Liberty,2009,Red
C8 Laviolette,2004,Green
Aventador,2012,Goldenrod
Rendezvous,2006,Teal
F-Series Super Duty,2011,Indigo
Landaulet,2009,Puce
VS Commodore,1995,Indigo
SL-Class,1999,Teal
ES,2011,Khaki
Sebring,1997,Blue
Passat,1993,Goldenrod
Golf,2006,Crimson
2500,1997,Crimson
Club Wagon,1993,Maroon
Tahoe,2007,Mauv
New Beetle,2012,Aquamarine
2500,1996,Maroon
Savana 1500,1996,Orange
9-3,1999,Purple
PT Cruiser,2002,Mauv
Sportvan G10,1992,Goldenrod
Express 1500,2002,Goldenrod
Biturbo,1985,Blue
F150,2009,Maroon
1500 Club Coupe,1995,Violet
Gallardo,2007,Purple
Golf,1983,Khaki
Beretta,1996,Red
LR4,2011,Teal
Brat,1986,Green
Diamante,2004,Pink
Forenza,2006,Yellow
Skylark,1992,Violet
Sierra 3500,2000,Turquoise
Firebird,1996,Crimson
Civic,2001,Violet
600SEC,1993,Goldenrod
E350,2006,Fuscia
IS-F,2009,Violet
MDX,2008,Red
F250,1993,Indigo
Sonata,1992,Indigo
E-Series,1986,Fuscia
M-Class,2012,Teal
Marquis,1984,Pink
MR2,1985,Indigo
Capri,1985,Maroon
ES,2012,Teal
Sonoma,2000,Pink
Z4,2006,Mauv
Mazda6,2009,Purple
Commander,2010,Purple
5000CS Quattro,1986,Teal
Sunfire,1999,Blue
240SX,1993,Pink
IS F,2011,Violet
Explorer Sport Trac,2005,Violet
Range Rover,2002,Pink
Focus,2012,Pink
Suburban 1500,2009,Aquamarine
Aurora,2001,Teal
Continental,2008,Crimson
Prowler,2000,Turquoise
Bravada,2001,Crimson
7 Series,1994,Yellow
Boxster,1999,Indigo
Express 1500,2005,Puce
Riviera,1992,Pink
Escalade EXT,2011,Purple
GTI,1988,Green
Murano,2010,Crimson
Ram Van 3500,2003,Mauv
Coupe,2005,Aquamarine
XK Series,2013,Violet
Integra,1995,Turquoise
6000,1988,Crimson
Grand Prix,1999,Crimson
V12 Vantage,2012,Khaki
S-Type,2004,Pink
960,1994,Violet
530,2003,Khaki
Club Wagon,1995,Indigo
Colt,1994,Crimson
Ascender,2004,Turquoise
Pajero,2005,Maroon
